schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,favorite_win,favorite_cover,over,elo1_pre,elo2_pre,elo_difference
10/21/1979,1979,8,KC,NYG,KC,-6,36,79,30,17,21,0,1,0,0,0,1,1470.69,1386.839,83.851
10/21/1979,1979,8,LAR,LAC,LAC,-1,37,63,14,16,40,0,0,1,1,1,1,1564.112,1593.272,29.16
10/21/1979,1979,8,MIN,CHI,MIN,-2,36,51,12,30,27,0,1,0,1,1,1,1452.8,1475.785,22.985
10/21/1979,1979,8,NE,MIA,NE,-5,38,65,14,28,13,0,1,0,1,1,1,1599.244,1588.93,10.314
10/21/1979,1979,8,NO,DET,NO,-7,42,72,0,17,7,0,1,0,1,1,0,1460.094,1384.757,75.337
10/21/1979,1979,8,NYJ,OAK,OAK,-3,42,65,9,28,19,0,0,1,0,0,1,1476.439,1562.584,86.145
10/21/1979,1979,8,SF,ATL,ATL,-4,42,57,7,20,15,0,0,1,0,0,0,1285.156,1468.894,183.738
10/21/1979,1979,8,SEA,TEN,TEN,-2,42,72,0,34,14,0,0,1,0,0,1,1445.682,1583.084,137.402
10/21/1979,1979,8,TB,GB,TB,-5,37,78,10,21,3,0,1,0,1,1,0,1447.181,1450.858,3.677
10/21/1979,1979,8,,PHI,PHI,-2,38,70,9,17,7,0,0,1,0,0,0,,,0
10/22/1979,1979,8,PIT,DEN,PIT,-7,37,68,9,42,7,0,1,0,1,1,1,1657.374,1599.505,57.869
10/25/1979,1979,9,OAK,LAC,LAC,-1,41,66,17,45,22,0,0,1,0,0,1,1537.922,1629.358,91.436
10/28/1979,1979,9,IND,NE,NE,-4,37,46,6,31,26,0,0,1,0,0,1,1355.754,1620.331,264.577
10/28/1979,1979,9,CIN,PHI,CIN,-3,38,58,11,37,13,0,1,0,1,1,1,1450.591,1571.465,120.874
10/28/1979,1979,9,DEN,KC,DEN,-7,34,47,7,20,3,0,1,0,1,1,0,1577.091,1446.454,130.637
10/28/1979,1979,9,DET,BUF,BUF,-3,38,72,0,17,20,0,0,1,1,0,0,1370.856,1441.879,71.023
10/28/1979,1979,9,TEN,NYJ,TEN,-6,42,72,0,27,24,0,1,0,1,0,1,1545.136,1501.101,44.035
10/28/1979,1979,9,LAR,NYG,LAR,-6,37,62,8,14,20,0,1,0,0,0,0,1528.027,1411.075,116.952
10/28/1979,1979,9,MIA,GB,MIA,-11,36,75,13,27,7,0,1,0,1,1,0,1567.844,1427.216,140.628
10/28/1979,1979,9,MIN,TB,PICK,0,37,47,5,10,12,0,0,0,1,1,0,1464.766,1470.823,6.057
10/28/1979,1979,9,PIT,DAL,PIT,-3,39,51,12,14,3,0,1,0,1,1,0,1679.787,1697.067,17.28
10/28/1979,1979,9,SF,CHI,CHI,-3,39,60,17,27,28,0,0,1,1,0,1,1310.328,1463.819,153.491
10/28/1979,1979,9,ARI,CLE,ARI,-3,42,60,8,20,38,0,1,0,0,0,1,1464.871,1503.8,38.929
10/28/1979,1979,9,,NO,WAS,-6,40,51,10,10,14,0,0,0,1,0,0,,,0
10/29/1979,1979,9,ATL,SEA,SEA,-2,42,60,9,28,31,0,0,1,1,1,1,1443.723,1483.631,39.908
11/4/1979,1979,10,ATL,TB,ATL,-2,37,49,10,17,14,0,1,0,1,1,0,1428.689,1484.008,55.319
11/4/1979,1979,10,IND,CIN,IND,-3,42,45,10,38,28,0,1,0,1,1,1,1385.678,1488.884,103.206
11/4/1979,1979,10,BUF,NE,NE,-5,41,42,11,6,26,0,0,1,1,1,0,1455.464,1590.406,134.942
11/4/1979,1979,10,CHI,DET,CHI,-7,35,38,9,35,7,0,1,0,1,1,1,1468.821,1357.27,111.551
11/4/1979,1979,10,DEN,NO,DEN,-6,37,38,7,10,3,0,1,0,1,1,0,1590.091,1499.023,91.068
11/4/1979,1979,10,GB,NYJ,NYJ,-4,39,34,10,22,27,0,0,1,1,1,1,1414.164,1491.907,77.743
11/4/1979,1979,10,KC,LAC,LAC,-6,37,47,16,14,20,0,0,1,1,0,0,1433.455,1594.748,161.293
11/4/1979,1979,10,NYG,DAL,DAL,-8,38,47,13,14,16,0,0,1,1,0,0,1442.483,1676.065,233.582
11/4/1979,1979,10,OAK,SF,OAK,-12,44,59,9,23,10,0,1,0,1,1,0,1572.532,1305.326,267.206
11/4/1979,1979,10,PHI,CLE,PHI,-3,41,44,10,19,24,0,1,0,0,0,1,1533.171,1535.829,2.658
11/4/1979,1979,10,PIT,,PIT,-11,37,41,7,38,7,0,1,0,1,1,1,,,0
11/4/1979,1979,10,SEA,LAR,SEA,-3,41,72,0,0,24,0,1,0,0,0,0,1498.665,1496.619,2.046
11/4/1979,1979,10,ARI,MIN,ARI,-5,39,44,8,37,7,0,1,0,1,1,1,1432.842,1451.58,18.738
11/5/1979,1979,10,MIA,TEN,MIA,-3,39,77,17,6,9,0,1,0,0,0,0,1580.896,1554.33,26.566
11/11/1979,1979,11,CHI,LAR,PICK,0,34,28,6,27,23,0,0,0,0,0,1,1485.388,1536.148,50.76
11/11/1979,1979,11,CIN,LAC,LAC,-4,43,35,10,24,26,0,0,1,1,0,1,1461.809,1608.352,146.543
11/11/1979,1979,11,CLE,SEA,CLE,-6,43,36,12,24,29,0,1,0,0,0,1,1557.543,1459.136,98.407
11/11/1979,1979,11,DEN,NE,NE,-1,34,35,11,45,10,0,0,1,0,0,1,1601.328,1614.052,12.724
11/11/1979,1979,11,DET,TB,TB,-5,35,72,0,14,16,0,0,1,1,0,0,1340.703,1470.59,129.887
11/11/1979,1979,11,GB,MIN,GB,-2,37,26,6,19,7,0,1,0,1,1,0,1397.003,1422.4,25.397
11/11/1979,1979,11,TEN,OAK,TEN,-1,40,72,0,31,17,0,1,0,1,1,1,1572.521,1578.434,5.913
11/11/1979,1979,11,KC,PIT,PIT,-10,38,34,15,3,30,0,0,1,1,1,0,1419.85,1714.778,294.928
11/11/1979,1979,11,MIA,IND,MIA,-6,38,81,13,19,0,0,1,0,1,1,0,1562.705,1412.754,149.951
11/11/1979,1979,11,NO,SF,NO,-7,42,72,0,31,20,0,1,0,1,1,1,1487.786,1299.424,188.362
11/11/1979,1979,11,NYG,ATL,NYG,-2,36,52,10,24,3,0,1,0,1,1,0,1436.875,1442.106,5.231
11/11/1979,1979,11,NYJ,BUF,NYJ,-6,42,52,10,12,14,0,1,0,0,0,0,1509.069,1431.818,77.251
11/11/1979,1979,11,,ARI,WAS,-3,39,55,12,30,28,0,0,0,0,0,1,,,0
11/12/1979,1979,11,DAL,PHI,DAL,-10,38,45,5,21,31,0,1,0,0,0,1,1681.674,1511.457,170.217
11/18/1979,1979,12,BUF,GB,BUF,-7,37,44,10,19,12,0,1,0,1,0,0,1448.121,1419.339,28.782
11/18/1979,1979,12,CHI,NYJ,CHI,-3,39,56,12,23,13,0,1,0,1,1,0,1500.724,1492.766,7.958
11/18/1979,1979,12,CLE,MIA,PICK,0,40,50,12,30,24,0,0,0,0,0,1,1529.701,1574.98,45.279
11/18/1979,1979,12,TEN,CIN,TEN,-8,43,72,0,42,21,0,1,0,1,1,1,1594.451,1453.657,140.794
11/18/1979,1979,12,MIN,DET,MIN,-4,37,47,9,14,7,0,1,0,1,1,0,1400.063,1332.001,68.062
11/18/1979,1979,12,NE,IND,NE,-10,40,49,11,50,21,0,1,0,1,1,1,1584.276,1400.479,183.797
11/18/1979,1979,12,OAK,KC,OAK,-12,38,57,13,21,24,0,1,0,0,0,1,1556.504,1407.166,149.338
11/18/1979,1979,12,PHI,ARI,PHI,-3,39,50,8,16,13,0,1,0,1,0,0,1554.136,1455.552,98.584
11/18/1979,1979,12,LAC,PIT,PIT,-4,39,63,9,35,7,0,0,1,0,0,1,1616.504,1727.462,110.958
11/18/1979,1979,12,SF,DEN,DEN,-9,39,55,14,28,38,0,0,1,1,1,1,1291.014,1631.104,340.09
11/18/1979,1979,12,SEA,NO,SEA,-3,42,72,0,38,24,0,1,0,1,1,1,1486.977,1496.195,9.218
11/18/1979,1979,12,TB,NYG,TB,-3,34,63,7,31,3,0,1,0,1,1,0,1479.292,1461.842,17.45
11/18/1979,1979,12,,DAL,DAL,-4,37,56,7,34,20,0,0,1,0,0,1,,,0
11/19/1979,1979,12,LAR,ATL,LAR,-7,35,59,16,20,14,0,1,0,1,0,0,1520.812,1417.14,103.672
11/22/1979,1979,13,DAL,TEN,DAL,-1,41,46,16,24,30,0,1,0,0,0,1,1608.828,1607.692,1.136
11/22/1979,1979,13,DET,CHI,CHI,-6,36,72,0,20,0,0,0,1,0,0,0,1319.556,1519.13,199.574
11/25/1979,1979,13,ATL,NO,NO,-2,43,64,16,6,37,0,0,1,1,1,0,1407.211,1473.989,66.778
11/25/1979,1979,13,IND,MIA,MIA,-4,37,63,8,24,28,0,0,1,1,0,1,1388.699,1556.788,168.089
11/25/1979,1979,13,CIN,ARI,CIN,-2,42,42,11,34,28,0,1,0,1,1,1,1440.416,1448.312,7.896
11/25/1979,1979,13,DEN,OAK,DEN,-4,37,35,13,10,14,0,1,0,0,0,0,1638.364,1532.713,105.651
11/25/1979,1979,13,GB,PHI,PHI,-4,36,35,6,10,21,0,0,1,1,1,0,1404.651,1561.377,156.726
11/25/1979,1979,13,NE,BUF,NE,-10,41,62,11,13,16,0,1,0,0,0,0,1596.056,1462.809,133.247
11/25/1979,1979,13,NYG,,WAS,-3,36,61,10,14,6,0,0,0,0,0,0,,,0
11/25/1979,1979,13,PIT,CLE,PIT,-10,42,49,6,33,30,0,1,0,1,0,1,1688.548,1547.894,140.654
11/25/1979,1979,13,LAC,KC,LAC,-10,38,60,5,28,7,0,1,0,1,1,0,1655.418,1430.957,224.461
11/25/1979,1979,13,SF,LAR,LAR,-6,39,55,10,20,26,0,0,1,1,0,1,1283.755,1530.742,246.987
11/25/1979,1979,13,TB,MIN,TB,-8,36,75,12,22,23,0,1,0,0,0,1,1504.187,1412.509,91.678
11/26/1979,1979,13,SEA,NYJ,SEA,-6,45,72,0,30,7,0,1,0,1,1,0,1509.184,1474.36,34.824
11/29/1979,1979,14,MIA,NE,MIA,-6,38,73,11,39,24,0,1,0,1,1,1,1567.729,1572.961,5.232
12/2/1979,1979,14,BUF,DEN,DEN,-2,36,25,14,16,19,0,0,1,1,1,0,1485.903,1612.975,127.072
12/2/1979,1979,14,CLE,TEN,CLE,-1,44,28,15,14,7,0,1,0,1,1,0,1541.952,1631.528,89.576
12/2/1979,1979,14,DAL,NYG,DAL,-11,38,41,7,28,7,0,1,0,1,1,0,1584.992,1464.035,120.957
12/2/1979,1979,14,KC,SEA,SEA,-1,41,21,10,37,21,0,0,1,0,0,1,1422.275,1531.083,108.808
12/2/1979,1979,14,LAR,MIN,LAR,-7,38,64,9,27,21,0,1,0,1,0,1,1540.076,1423.126,116.95
12/2/1979,1979,14,NYJ,IND,NYJ,-6,38,36,13,30,17,0,1,0,1,1,1,1452.461,1377.757,74.704
12/2/1979,1979,14,PHI,DET,PHI,-8,37,34,12,44,7,0,1,0,1,1,1,1579.076,1363.953,215.123
12/2/1979,1979,14,PIT,CIN,PIT,-14,44,28,12,37,17,0,1,0,1,1,1,1694.49,1456.293,238.197
12/2/1979,1979,14,LAC,ATL,LAC,-14,42,64,6,26,28,0,1,0,0,0,1,1664.101,1372.759,291.342
12/2/1979,1979,14,ARI,SF,ARI,-6,43,23,9,13,10,0,1,0,1,0,0,1432.435,1274.42,158.015
12/2/1979,1979,14,TB,CHI,TB,-4,36,53,9,0,14,0,1,0,0,0,0,1493.57,1474.733,18.837
12/2/1979,1979,14,,GB,WAS,-9,34,39,15,38,21,0,0,0,0,0,1,,,0
12/3/1979,1979,14,NO,OAK,NO,-3,43,72,0,35,42,0,1,0,0,0,1,1508.441,1558.102,49.661
12/8/1979,1979,15,PHI,DAL,DAL,-3,40,44,21,17,24,0,0,1,1,1,1,1589.804,1599.546,9.742
12/8/1979,1979,15,SEA,DEN,DEN,-3,39,72,0,28,23,0,0,1,0,0,1,1498.549,1624.074,125.525
12/9/1979,1979,15,ATL,LAR,LAR,-3,39,42,11,13,34,0,0,1,1,1,1,1395.991,1549.412,153.421
12/9/1979,1979,15,IND,KC,PICK,0,36,35,11,7,10,0,0,0,1,1,0,1362.415,1454.808,92.393
12/9/1979,1979,15,DET,MIA,MIA,-7,36,72,0,10,28,0,0,1,1,1,1,1353.225,1590.124,236.899
12/9/1979,1979,15,GB,CHI,CHI,-4,36,29,17,14,15,0,0,1,1,0,0,1375.474,1509.551,134.077
12/9/1979,1979,15,MIN,BUF,MIN,-2,36,32,12,10,3,0,1,0,1,1,0,1413.79,1474.804,61.014
12/9/1979,1979,15,NO,LAC,NO,-4,45,72,0,0,35,0,1,0,0,0,0,1486.577,1640.869,154.292
12/9/1979,1979,15,NYJ,NE,NE,-4,44,32,14,27,26,0,0,1,0,0,1,1467.803,1550.567,82.764
12/9/1979,1979,15,OAK,CLE,OAK,-3,44.5,54,6,19,14,0,1,0,1,1,0,1579.966,1564.466,15.5
12/9/1979,1979,15,SF,TB,TB,-3,38,52,6,23,7,0,0,1,0,0,0,1268.96,1458.752,189.792
12/9/1979,1979,15,ARI,NYG,ARI,-2,36,39,11,29,20,0,1,0,1,1,1,1437.895,1449.481,11.586
12/9/1979,1979,15,,CIN,WAS,-6,42,39,10,28,14,0,0,0,0,0,0,,,0
12/10/1979,1979,15,TEN,PIT,PIT,-3,42.5,72,0,20,17,0,0,1,0,0,0,1609.014,1702.445,93.431
12/15/1979,1979,16,DET,GB,DET,-3,34,72,0,13,18,0,1,0,0,0,0,1338.422,1370.073,31.651
